pdm01ABABa,B.OW.L,P.OW.L,B.OW.L,P.OW.L
pdm01ABABb,P.OW.L,B.OW.L,P.OW.L,B.OW.L
pdm01ABBAa,B.OW.L,P.OW.L,P.OW.L,B.OW.L
pdm01ABBAb,P.OW.L,B.OW.L,B.OW.L,P.OW.L
pdm02ABABa,B.IY.K,P.IY.K,B.IY.K,P.IY.K
pdm02ABABb,P.IY.K,B.IY.K,P.IY.K,B.IY.K
pdm02ABBAa,B.IY.K,P.IY.K,P.IY.K,B.IY.K
pdm02ABBAb,P.IY.K,B.IY.K,B.IY.K,P.IY.K
pdm03ABABa,B.EH.T,P.EH.T,B.EH.T,P.EH.T
pdm03ABABb,P.EH.T,B.EH.T,P.EH.T,B.EH.T
pdm03ABBAa,B.EH.T,P.EH.T,P.EH.T,B.EH.T
pdm03ABBAb,P.EH.T,B.EH.T,B.EH.T,P.EH.T
pdm04ABABa,B.OW.S.T,P.OW.S.T,B.OW.S.T,P.OW.S.T
pdm04ABABb,P.OW.S.T,B.OW.S.T,P.OW.S.T,B.OW.S.T
pdm04ABBAa,B.OW.S.T,P.OW.S.T,P.OW.S.T,B.OW.S.T
pdm04ABBAb,P.OW.S.T,B.OW.S.T,B.OW.S.T,P.OW.S.T
pdm05ABABa,D.AW.R,T.AW.R,D.AW.R,T.AW.R
pdm05ABABb,T.AW.R,D.AW.R,T.AW.R,D.AW.R
pdm05ABBAa,D.AW.R,T.AW.R,T.AW.R,D.AW.R
pdm05ABBAb,T.AW.R,D.AW.R,D.AW.R,T.AW.R
pdm06ABABa,D.EH.N.S,T.EH.N.S,D.EH.N.S,T.EH.N.S
pdm06ABABb,T.EH.N.S,D.EH.N.S,T.EH.N.S,D.EH.N.S
pdm06ABBAa,D.EH.N.S,T.EH.N.S,T.EH.N.S,D.EH.N.S
pdm06ABBAb,T.EH.N.S,D.EH.N.S,D.EH.N.S,T.EH.N.S
pdm07ABABa,D.AA.R.T,T.AA.R.T,D.AA.R.T,T.AA.R.T
pdm07ABABb,T.AA.R.T,D.AA.R.T,T.AA.R.T,D.AA.R.T
pdm07ABBAa,D.AA.R.T,T.AA.R.T,T.AA.R.T,D.AA.R.T
pdm07ABBAb,T.AA.R.T,D.AA.R.T,D.AA.R.T,T.AA.R.T
pdm08ABABa,D.UW.N,T.UW.N,D.UW.N,T.UW.N
